MEMBER_ID,PORTFOLIO,OPTIMIZED_EXPECTED_FINAL_PORTFOLIO_VALUE,OPTIMIZED_MEDIAN_FINAL_PORTFOLIO_VALUE,OPTIMIZED_STANDARD_DEVIATION_OF_FINAL_PORTFOLIO_VALUE,OPTIMIZED_VALUE_AT_RISK,OPTIMIZED_CONDITIONAL_VALUE_AT_RISK,OPTIMIZED_PROBABILITY_OF_LOSS,OPTIMIZED_SHARPE_RATIO
MID000588,ALPA,"$61,992.27","$60,476.93","$13,574.67","$5,904.03","$9,893.00",15.20%,0.9571
MID000588,OOGGL,"$61,992.27","$60,476.93","$13,574.67","$5,904.03","$9,893.00",15.20%,0.9571
MID000589,TWM,"$6,486.69","$6,337.34","$1,448.22",$496.36,$815.75,14.40%,1.0266
MID000589,GS,"$6,486.69","$6,337.34","$1,448.22",$496.36,$815.75,14.40%,1.0266
MID000589,NEK,"$6,486.69","$6,337.34","$1,448.22",$496.36,$815.75,14.40%,1.0266
MID000589,TCA,"$6,486.69","$6,337.34","$1,448.22",$496.36,$815.75,14.40%,1.0266
MID000589,EG,"$6,486.69","$6,337.34","$1,448.22",$496.36,$815.75,14.40%,1.0266
MID000590,CCSO,"$6,494.74","$6,310.53","$1,436.69",$474.07,"$1,004.48",11.80%,1.0404
MID000590,DMC,"$6,494.74","$6,310.53","$1,436.69",$474.07,"$1,004.48",11.80%,1.0404
MID000590,MMM,"$6,494.74","$6,310.53","$1,436.69",$474.07,"$1,004.48",11.80%,1.0404
MID000590,ONH,"$6,494.74","$6,310.53","$1,436.69",$474.07,"$1,004.48",11.80%,1.0404
MID000590,EG,"$6,494.74","$6,310.53","$1,436.69",$474.07,"$1,004.48",11.80%,1.0404
MID000590,OCST,"$6,494.74","$6,310.53","$1,436.69",$474.07,"$1,004.48",11.80%,1.0404
MID000590,ABT,"$6,494.74","$6,310.53","$1,436.69",$474.07,"$1,004.48",11.80%,1.0404
MID000590,NEK,"$6,494.74","$6,310.53","$1,436.69",$474.07,"$1,004.48",11.80%,1.0404
MID000590,HD,"$6,494.74","$6,310.53","$1,436.69",$474.07,"$1,004.48",11.80%,1.0404
MID000591,ONH,"$57,760.77","$56,234.17","$12,059.62","$3,921.91","$6,959.52",14.20%,1.0581
MID000591,JJN,"$57,760.77","$56,234.17","$12,059.62","$3,921.91","$6,959.52",14.20%,1.0581
MID000591,TCA,"$57,760.77","$56,234.17","$12,059.62","$3,921.91","$6,959.52",14.20%,1.0581
MID000591,GS,"$57,760.77","$56,234.17","$12,059.62","$3,921.91","$6,959.52",14.20%,1.0581
MID000591,PEP,"$57,760.77","$56,234.17","$12,059.62","$3,921.91","$6,959.52",14.20%,1.0581
MID000591,EPF,"$57,760.77","$56,234.17","$12,059.62","$3,921.91","$6,959.52",14.20%,1.0581
MID000592,SM,"$51,462.79","$49,559.60","$11,734.98","$5,544.30","$8,291.80",14.20%,0.9768
MID000592,JJN,"$51,462.79","$49,559.60","$11,734.98","$5,544.30","$8,291.80",14.20%,0.9768
MID000592,GMNA,"$51,462.79","$49,559.60","$11,734.98","$5,544.30","$8,291.80",14.20%,0.9768
MID000592,AB,"$51,462.79","$49,559.60","$11,734.98","$5,544.30","$8,291.80",14.20%,0.9768
MID000592,KRM,"$51,462.79","$49,559.60","$11,734.98","$5,544.30","$8,291.80",14.20%,0.9768
MID000592,TCA,"$51,462.79","$49,559.60","$11,734.98","$5,544.30","$8,291.80",14.20%,0.9768
MID000592,ABT,"$51,462.79","$49,559.60","$11,734.98","$5,544.30","$8,291.80",14.20%,0.9768
MID000592,OOGGL,"$51,462.79","$49,559.60","$11,734.98","$5,544.30","$8,291.80",14.20%,0.9768
MID000592,MTFS,"$51,462.79","$49,559.60","$11,734.98","$5,544.30","$8,291.80",14.20%,0.9768
MID000593,MZNA,"$1,259,593.74","$1,214,649.03","$270,457.70","$122,375.66","$199,534.67",13.40%,0.9598
MID000593,ABC,"$1,259,593.74","$1,214,649.03","$270,457.70","$122,375.66","$199,534.67",13.40%,0.9598
MID000593,MTFS,"$1,259,593.74","$1,214,649.03","$270,457.70","$122,375.66","$199,534.67",13.40%,0.9598
MID000593,OK,"$1,259,593.74","$1,214,649.03","$270,457.70","$122,375.66","$199,534.67",13.40%,0.9598
MID000594,OOGGL,"$104,115.20","$101,608.13","$22,117.67","$6,515.84","$12,956.42",11.80%,1.0903
MID000594,MMM,"$104,115.20","$101,608.13","$22,117.67","$6,515.84","$12,956.42",11.80%,1.0903
MID000594,PEP,"$104,115.20","$101,608.13","$22,117.67","$6,515.84","$12,956.42",11.80%,1.0903
MID000594,NTIC,"$104,115.20","$101,608.13","$22,117.67","$6,515.84","$12,956.42",11.80%,1.0903
MID000595,LTSA,"$119,224.35","$117,259.26","$25,550.02","$7,086.94","$15,612.73",11.00%,1.1438
MID000595,NTIC,"$119,224.35","$117,259.26","$25,550.02","$7,086.94","$15,612.73",11.00%,1.1438
MID000595,AB,"$119,224.35","$117,259.26","$25,550.02","$7,086.94","$15,612.73",11.00%,1.1438
MID000595,OOGGL,"$119,224.35","$117,259.26","$25,550.02","$7,086.94","$15,612.73",11.00%,1.1438
MID000595,MTFS,"$119,224.35","$117,259.26","$25,550.02","$7,086.94","$15,612.73",11.00%,1.1438
MID000595,HD,"$119,224.35","$117,259.26","$25,550.02","$7,086.94","$15,612.73",11.00%,1.1438
MID000596,SM,"$1,259,794.23","$1,241,790.58","$278,249.56","$130,294.27","$193,489.73",17.80%,0.9337
MID000596,ALPA,"$1,259,794.23","$1,241,790.58","$278,249.56","$130,294.27","$193,489.73",17.80%,0.9337
MID000596,TCA,"$1,259,794.23","$1,241,790.58","$278,249.56","$130,294.27","$193,489.73",17.80%,0.9337
MID000596,PG,"$1,259,794.23","$1,241,790.58","$278,249.56","$130,294.27","$193,489.73",17.80%,0.9337
MID000596,JJN,"$1,259,794.23","$1,241,790.58","$278,249.56","$130,294.27","$193,489.73",17.80%,0.9337
MID000596,MZNA,"$1,259,794.23","$1,241,790.58","$278,249.56","$130,294.27","$193,489.73",17.80%,0.9337
MID000597,EPF,"$12,871.41","$12,635.58","$2,670.79",$864.11,"$1,530.19",13.40%,1.0751
MID000597,AB,"$12,871.41","$12,635.58","$2,670.79",$864.11,"$1,530.19",13.40%,1.0751
MID000597,GS,"$12,871.41","$12,635.58","$2,670.79",$864.11,"$1,530.19",13.40%,1.0751
MID000598,GS,"$1,298.83","$1,283.30",$284.04,$109.54,$194.25,14.20%,1.0521
MID000598,EPF,"$1,298.83","$1,283.30",$284.04,$109.54,$194.25,14.20%,1.0521
MID000598,TCA,"$1,298.83","$1,283.30",$284.04,$109.54,$194.25,14.20%,1.0521
MID000599,FWC,"$12,899.52","$12,672.76","$2,580.88",$808.74,"$1,697.43",12.20%,1.1235
MID000599,CCSO,"$12,899.52","$12,672.76","$2,580.88",$808.74,"$1,697.43",12.20%,1.1235
MID000599,EG,"$12,899.52","$12,672.76","$2,580.88",$808.74,"$1,697.43",12.20%,1.1235
MID000599,ABC,"$12,899.52","$12,672.76","$2,580.88",$808.74,"$1,697.43",12.20%,1.1235
MID000599,MTFS,"$12,899.52","$12,672.76","$2,580.88",$808.74,"$1,697.43",12.20%,1.1235
MID000599,MMM,"$12,899.52","$12,672.76","$2,580.88",$808.74,"$1,697.43",12.20%,1.1235
MID000600,PG,"$1,284.69","$1,252.62",$265.47,$84.16,$169.85,12.80%,1.0724
MID000600,ONH,"$1,284.69","$1,252.62",$265.47,$84.16,$169.85,12.80%,1.0724
MID000600,LTSA,"$1,284.69","$1,252.62",$265.47,$84.16,$169.85,12.80%,1.0724
MID000600,SM,"$1,284.69","$1,252.62",$265.47,$84.16,$169.85,12.80%,1.0724
MID000600,PEP,"$1,284.69","$1,252.62",$265.47,$84.16,$169.85,12.80%,1.0724
MID000601,CCSO,"$103,053.42","$99,813.33","$20,897.24","$5,589.98","$13,549.46",10.80%,1.1032
MID000601,OOGGL,"$103,053.42","$99,813.33","$20,897.24","$5,589.98","$13,549.46",10.80%,1.1032
MID000601,EG,"$103,053.42","$99,813.33","$20,897.24","$5,589.98","$13,549.46",10.80%,1.1032
MID000601,EPF,"$103,053.42","$99,813.33","$20,897.24","$5,589.98","$13,549.46",10.80%,1.1032
MID000601,KRM,"$103,053.42","$99,813.33","$20,897.24","$5,589.98","$13,549.46",10.80%,1.1032
MID000601,GMNA,"$103,053.42","$99,813.33","$20,897.24","$5,589.98","$13,549.46",10.80%,1.1032
MID000602,DMC,"$58,727.01","$57,002.03","$13,080.04","$4,422.46","$7,966.61",12.80%,1.0495
MID000602,EG,"$58,727.01","$57,002.03","$13,080.04","$4,422.46","$7,966.61",12.80%,1.0495
MID000602,MPJ,"$58,727.01","$57,002.03","$13,080.04","$4,422.46","$7,966.61",12.80%,1.0495
MID000602,KRM,"$58,727.01","$57,002.03","$13,080.04","$4,422.46","$7,966.61",12.80%,1.0495
MID000602,PG,"$58,727.01","$57,002.03","$13,080.04","$4,422.46","$7,966.61",12.80%,1.0495
MID000602,ABT,"$58,727.01","$57,002.03","$13,080.04","$4,422.46","$7,966.61",12.80%,1.0495
MID000602,NTIC,"$58,727.01","$57,002.03","$13,080.04","$4,422.46","$7,966.61",12.80%,1.0495
MID000602,ALPA,"$58,727.01","$57,002.03","$13,080.04","$4,422.46","$7,966.61",12.80%,1.0495
MID000602,ONH,"$58,727.01","$57,002.03","$13,080.04","$4,422.46","$7,966.61",12.80%,1.0495
MID000603,EPF,"$14,200.81","$13,573.61","$3,167.70","$1,112.40","$1,715.73",14.00%,1.0105
MID000603,LTSA,"$14,200.81","$13,573.61","$3,167.70","$1,112.40","$1,715.73",14.00%,1.0105
MID000603,MPJ,"$14,200.81","$13,573.61","$3,167.70","$1,112.40","$1,715.73",14.00%,1.0105
MID000603,CCSO,"$14,200.81","$13,573.61","$3,167.70","$1,112.40","$1,715.73",14.00%,1.0105
MID000603,ONH,"$14,200.81","$13,573.61","$3,167.70","$1,112.40","$1,715.73",14.00%,1.0105
MID000604,MTFS,"$63,194.81","$61,684.55","$13,098.39","$5,052.55","$7,652.55",11.20%,1.0837
MID000604,JJN,"$63,194.81","$61,684.55","$13,098.39","$5,052.55","$7,652.55",11.20%,1.0837
MID000604,GMNA,"$63,194.81","$61,684.55","$13,098.39","$5,052.55","$7,652.55",11.20%,1.0837
MID000604,LTSA,"$63,194.81","$61,684.55","$13,098.39","$5,052.55","$7,652.55",11.20%,1.0837
MID000604,TCA,"$63,194.81","$61,684.55","$13,098.39","$5,052.55","$7,652.55",11.20%,1.0837
MID000604,PEP,"$63,194.81","$61,684.55","$13,098.39","$5,052.55","$7,652.55",11.20%,1.0837
MID000604,KRM,"$63,194.81","$61,684.55","$13,098.39","$5,052.55","$7,652.55",11.20%,1.0837
MID000604,GS,"$63,194.81","$61,684.55","$13,098.39","$5,052.55","$7,652.55",11.20%,1.0837
MID000605,SM,"$6,393.49","$6,274.09","$1,390.98",$583.17,$873.93,16.60%,1.0018
MID000605,MMM,"$6,393.49","$6,274.09","$1,390.98",$583.17,$873.93,16.60%,1.0018
MID000605,MPJ,"$6,393.49","$6,274.09","$1,390.98",$583.17,$873.93,16.60%,1.0018
MID000605,GS,"$6,393.49","$6,274.09","$1,390.98",$583.17,$873.93,16.60%,1.0018
MID000605,EG,"$6,393.49","$6,274.09","$1,390.98",$583.17,$873.93,16.60%,1.0018
MID000605,TCA,"$6,393.49","$6,274.09","$1,390.98",$583.17,$873.93,16.60%,1.0018
MID000605,ABC,"$6,393.49","$6,274.09","$1,390.98",$583.17,$873.93,16.60%,1.0018
MID000605,ABT,"$6,393.49","$6,274.09","$1,390.98",$583.17,$873.93,16.60%,1.0018
MID000605,PEP,"$6,393.49","$6,274.09","$1,390.98",$583.17,$873.93,16.60%,1.0018
MID000606,GMNA,"$64,158.32","$62,207.65","$13,216.39","$3,795.61","$8,047.29",11.40%,1.0713
MID000606,OK,"$64,158.32","$62,207.65","$13,216.39","$3,795.61","$8,047.29",11.40%,1.0713
MID000606,GS,"$64,158.32","$62,207.65","$13,216.39","$3,795.61","$8,047.29",11.40%,1.0713
MID000606,PEP,"$64,158.32","$62,207.65","$13,216.39","$3,795.61","$8,047.29",11.40%,1.0713
MID000607,ABC,"$104,609.68","$102,320.86","$22,044.43","$6,074.50","$13,736.53",10.80%,1.1164
MID000607,SM,"$104,609.68","$102,320.86","$22,044.43","$6,074.50","$13,736.53",10.80%,1.1164
MID000607,MPJ,"$104,609.68","$102,320.86","$22,044.43","$6,074.50","$13,736.53",10.80%,1.1164
MID000607,LTSA,"$104,609.68","$102,320.86","$22,044.43","$6,074.50","$13,736.53",10.80%,1.1164
MID000607,ABT,"$104,609.68","$102,320.86","$22,044.43","$6,074.50","$13,736.53",10.80%,1.1164
MID000607,NEK,"$104,609.68","$102,320.86","$22,044.43","$6,074.50","$13,736.53",10.80%,1.1164
MID000608,GMNA,"$71,074.03","$69,722.50","$14,165.45","$5,869.34","$9,543.03",11.60%,1.1347
MID000608,OCST,"$71,074.03","$69,722.50","$14,165.45","$5,869.34","$9,543.03",11.60%,1.1347
MID000608,JJN,"$71,074.03","$69,722.50","$14,165.45","$5,869.34","$9,543.03",11.60%,1.1347
MID000608,ALPA,"$71,074.03","$69,722.50","$14,165.45","$5,869.34","$9,543.03",11.60%,1.1347
MID000608,AB,"$71,074.03","$69,722.50","$14,165.45","$5,869.34","$9,543.03",11.60%,1.1347
MID000608,DMC,"$71,074.03","$69,722.50","$14,165.45","$5,869.34","$9,543.03",11.60%,1.1347
MID000608,TCA,"$71,074.03","$69,722.50","$14,165.45","$5,869.34","$9,543.03",11.60%,1.1347
MID000608,ONH,"$71,074.03","$69,722.50","$14,165.45","$5,869.34","$9,543.03",11.60%,1.1347
MID000608,HD,"$71,074.03","$69,722.50","$14,165.45","$5,869.34","$9,543.03",11.60%,1.1347
MID000609,OK,"$72,712.82","$70,543.10","$15,434.50","$3,130.69","$8,009.45",9.60%,1.1476
MID000609,ALPA,"$72,712.82","$70,543.10","$15,434.50","$3,130.69","$8,009.45",9.60%,1.1476
MID000609,MPJ,"$72,712.82","$70,543.10","$15,434.50","$3,130.69","$8,009.45",9.60%,1.1476
MID000609,ABT,"$72,712.82","$70,543.10","$15,434.50","$3,130.69","$8,009.45",9.60%,1.1476
MID000610,GMNA,"$58,056.50","$57,122.66","$12,529.22","$4,766.50","$7,699.48",15.80%,1.0421
MID000610,HD,"$58,056.50","$57,122.66","$12,529.22","$4,766.50","$7,699.48",15.80%,1.0421
MID000610,JJN,"$58,056.50","$57,122.66","$12,529.22","$4,766.50","$7,699.48",15.80%,1.0421
MID000610,MPJ,"$58,056.50","$57,122.66","$12,529.22","$4,766.50","$7,699.48",15.80%,1.0421
MID000610,AB,"$58,056.50","$57,122.66","$12,529.22","$4,766.50","$7,699.48",15.80%,1.0421
MID000610,SM,"$58,056.50","$57,122.66","$12,529.22","$4,766.50","$7,699.48",15.80%,1.0421
MID000611,SM,"$71,751.52","$70,747.92","$14,726.97","$5,343.29","$8,397.52",12.40%,1.1375
MID000611,OCST,"$71,751.52","$70,747.92","$14,726.97","$5,343.29","$8,397.52",12.40%,1.1375
MID000612,ALPA,"$1,298.34","$1,258.03",$295.30,$121.75,$180.94,13.20%,1.0103
MID000612,MPJ,"$1,298.34","$1,258.03",$295.30,$121.75,$180.94,13.20%,1.0103
MID000612,ABC,"$1,298.34","$1,258.03",$295.30,$121.75,$180.94,13.20%,1.0103
MID000612,FWC,"$1,298.34","$1,258.03",$295.30,$121.75,$180.94,13.20%,1.0103
MID000612,JJN,"$1,298.34","$1,258.03",$295.30,$121.75,$180.94,13.20%,1.0103
MID000612,DMC,"$1,298.34","$1,258.03",$295.30,$121.75,$180.94,13.20%,1.0103
MID000612,ONH,"$1,298.34","$1,258.03",$295.30,$121.75,$180.94,13.20%,1.0103
MID000612,HD,"$1,298.34","$1,258.03",$295.30,$121.75,$180.94,13.20%,1.0103
MID000613,SM,"$113,961.38","$111,708.71","$23,091.45","$8,830.64","$14,674.27",15.20%,1.0377
MID000613,MPJ,"$113,961.38","$111,708.71","$23,091.45","$8,830.64","$14,674.27",15.20%,1.0377
MID000613,ONH,"$113,961.38","$111,708.71","$23,091.45","$8,830.64","$14,674.27",15.20%,1.0377
MID000613,OOGGL,"$113,961.38","$111,708.71","$23,091.45","$8,830.64","$14,674.27",15.20%,1.0377
MID000613,FWC,"$113,961.38","$111,708.71","$23,091.45","$8,830.64","$14,674.27",15.20%,1.0377
MID000614,OOGGL,"$6,407.80","$6,269.78","$1,318.90",$450.27,"$1,018.90",13.20%,1.0674
MID000614,ABC,"$6,407.80","$6,269.78","$1,318.90",$450.27,"$1,018.90",13.20%,1.0674
MID000614,ALPA,"$6,407.80","$6,269.78","$1,318.90",$450.27,"$1,018.90",13.20%,1.0674
MID000614,GS,"$6,407.80","$6,269.78","$1,318.90",$450.27,"$1,018.90",13.20%,1.0674
MID000614,GMNA,"$6,407.80","$6,269.78","$1,318.90",$450.27,"$1,018.90",13.20%,1.0674
MID000614,NEK,"$6,407.80","$6,269.78","$1,318.90",$450.27,"$1,018.90",13.20%,1.0674
MID000614,TWM,"$6,407.80","$6,269.78","$1,318.90",$450.27,"$1,018.90",13.20%,1.0674
MID000614,EG,"$6,407.80","$6,269.78","$1,318.90",$450.27,"$1,018.90",13.20%,1.0674
MID000615,HD,"$1,301,062.75","$1,274,541.33","$281,917.10","$98,992.12","$171,510.26",12.60%,1.0679
MID000615,OOGGL,"$1,301,062.75","$1,274,541.33","$281,917.10","$98,992.12","$171,510.26",12.60%,1.0679
MID000615,ABC,"$1,301,062.75","$1,274,541.33","$281,917.10","$98,992.12","$171,510.26",12.60%,1.0679
MID000616,OOGGL,"$1,304.45","$1,298.88",$277.00,$103.19,$187.21,14.00%,1.0991
MID000616,TWM,"$1,304.45","$1,298.88",$277.00,$103.19,$187.21,14.00%,1.0991
MID000616,FWC,"$1,304.45","$1,298.88",$277.00,$103.19,$187.21,14.00%,1.0991
MID000616,OCST,"$1,304.45","$1,298.88",$277.00,$103.19,$187.21,14.00%,1.0991
MID000616,PEP,"$1,304.45","$1,298.88",$277.00,$103.19,$187.21,14.00%,1.0991
MID000616,GS,"$1,304.45","$1,298.88",$277.00,$103.19,$187.21,14.00%,1.0991
MID000616,HD,"$1,304.45","$1,298.88",$277.00,$103.19,$187.21,14.00%,1.0991
MID000616,JJN,"$1,304.45","$1,298.88",$277.00,$103.19,$187.21,14.00%,1.0991
MID000617,EG,"$1,286.14","$1,259.60",$281.94,$113.49,$179.27,15.60%,1.0149
MID000617,NTIC,"$1,286.14","$1,259.60",$281.94,$113.49,$179.27,15.60%,1.0149
MID000617,PG,"$1,286.14","$1,259.60",$281.94,$113.49,$179.27,15.60%,1.0149
MID000617,EPF,"$1,286.14","$1,259.60",$281.94,$113.49,$179.27,15.60%,1.0149
MID000618,MZNA,"$57,001.51","$55,470.00","$11,610.10","$5,517.20","$8,191.91",13.40%,1.0337
MID000618,EG,"$57,001.51","$55,470.00","$11,610.10","$5,517.20","$8,191.91",13.40%,1.0337
MID000618,NEK,"$57,001.51","$55,470.00","$11,610.10","$5,517.20","$8,191.91",13.40%,1.0337
MID000619,MMM,"$1,271,406.35","$1,245,153.68","$264,611.00","$113,590.36","$194,119.15",15.00%,1.0257
MID000619,ABC,"$1,271,406.35","$1,245,153.68","$264,611.00","$113,590.36","$194,119.15",15.00%,1.0257
MID000619,TCA,"$1,271,406.35","$1,245,153.68","$264,611.00","$113,590.36","$194,119.15",15.00%,1.0257
MID000619,PG,"$1,271,406.35","$1,245,153.68","$264,611.00","$113,590.36","$194,119.15",15.00%,1.0257
MID000619,MTFS,"$1,271,406.35","$1,245,153.68","$264,611.00","$113,590.36","$194,119.15",15.00%,1.0257
MID000620,AB,"$104,441.25","$102,340.64","$22,277.18","$9,270.60","$12,919.86",13.80%,1.0971
MID000620,ABC,"$104,441.25","$102,340.64","$22,277.18","$9,270.60","$12,919.86",13.80%,1.0971
MID000621,GS,"$102,085.90","$99,912.38","$22,783.15","$8,548.78","$16,333.60",14.60%,0.9694
MID000621,SM,"$102,085.90","$99,912.38","$22,783.15","$8,548.78","$16,333.60",14.60%,0.9694
MID000621,NTIC,"$102,085.90","$99,912.38","$22,783.15","$8,548.78","$16,333.60",14.60%,0.9694
MID000621,AB,"$102,085.90","$99,912.38","$22,783.15","$8,548.78","$16,333.60",14.60%,0.9694
MID000622,GMNA,"$69,465.88","$69,086.18","$14,903.61","$7,618.61","$11,278.27",16.60%,0.9706
MID000622,EPF,"$69,465.88","$69,086.18","$14,903.61","$7,618.61","$11,278.27",16.60%,0.9706
MID000622,MTFS,"$69,465.88","$69,086.18","$14,903.61","$7,618.61","$11,278.27",16.60%,0.9706
MID000622,ONH,"$69,465.88","$69,086.18","$14,903.61","$7,618.61","$11,278.27",16.60%,0.9706
MID000623,PEP,"$57,455.83","$56,390.19","$11,782.58","$4,554.85","$7,193.05",14.80%,1.0571
MID000623,NEK,"$57,455.83","$56,390.19","$11,782.58","$4,554.85","$7,193.05",14.80%,1.0571
MID000623,PG,"$57,455.83","$56,390.19","$11,782.58","$4,554.85","$7,193.05",14.80%,1.0571
MID000623,ABT,"$57,455.83","$56,390.19","$11,782.58","$4,554.85","$7,193.05",14.80%,1.0571
MID000623,DMC,"$57,455.83","$56,390.19","$11,782.58","$4,554.85","$7,193.05",14.80%,1.0571
MID000623,SM,"$57,455.83","$56,390.19","$11,782.58","$4,554.85","$7,193.05",14.80%,1.0571
MID000624,MZNA,"$57,618.10","$56,331.64","$12,184.42","$4,194.58","$8,468.57",11.60%,1.0356
MID000624,GS,"$57,618.10","$56,331.64","$12,184.42","$4,194.58","$8,468.57",11.60%,1.0356
MID000624,ONH,"$57,618.10","$56,331.64","$12,184.42","$4,194.58","$8,468.57",11.60%,1.0356
MID000624,PEP,"$57,618.10","$56,331.64","$12,184.42","$4,194.58","$8,468.57",11.60%,1.0356
MID000624,NEK,"$57,618.10","$56,331.64","$12,184.42","$4,194.58","$8,468.57",11.60%,1.0356
MID000624,NTIC,"$57,618.10","$56,331.64","$12,184.42","$4,194.58","$8,468.57",11.60%,1.0356
MID000624,DMC,"$57,618.10","$56,331.64","$12,184.42","$4,194.58","$8,468.57",11.60%,1.0356
MID000624,ALPA,"$57,618.10","$56,331.64","$12,184.42","$4,194.58","$8,468.57",11.60%,1.0356
MID000624,OK,"$57,618.10","$56,331.64","$12,184.42","$4,194.58","$8,468.57",11.60%,1.0356
MID000625,MTFS,"$87,835.71","$86,211.18","$17,722.28","$7,432.64","$12,367.51",13.60%,1.0628
MID000625,NEK,"$87,835.71","$86,211.18","$17,722.28","$7,432.64","$12,367.51",13.60%,1.0628
MID000626,GMNA,"$116,673.00","$115,223.90","$24,506.00","$9,617.93","$16,226.39",12.20%,1.0884
MID000626,PEP,"$116,673.00","$115,223.90","$24,506.00","$9,617.93","$16,226.39",12.20%,1.0884
MID000626,ABT,"$116,673.00","$115,223.90","$24,506.00","$9,617.93","$16,226.39",12.20%,1.0884
MID000626,HD,"$116,673.00","$115,223.90","$24,506.00","$9,617.93","$16,226.39",12.20%,1.0884
MID000626,FWC,"$116,673.00","$115,223.90","$24,506.00","$9,617.93","$16,226.39",12.20%,1.0884
MID000627,MZNA,"$12,787.34","$12,457.11","$2,633.04","$1,244.27","$1,951.31",12.20%,1.0586
MID000627,OK,"$12,787.34","$12,457.11","$2,633.04","$1,244.27","$1,951.31",12.20%,1.0586
MID000627,TWM,"$12,787.34","$12,457.11","$2,633.04","$1,244.27","$1,951.31",12.20%,1.0586
MID000627,ALPA,"$12,787.34","$12,457.11","$2,633.04","$1,244.27","$1,951.31",12.20%,1.0586
MID000627,NEK,"$12,787.34","$12,457.11","$2,633.04","$1,244.27","$1,951.31",12.20%,1.0586
MID000627,DMC,"$12,787.34","$12,457.11","$2,633.04","$1,244.27","$1,951.31",12.20%,1.0586
MID000627,ABC,"$12,787.34","$12,457.11","$2,633.04","$1,244.27","$1,951.31",12.20%,1.0586
MID000628,EG,"$12,984.05","$12,747.10","$2,763.36",$899.89,"$1,767.57",12.80%,1.0799
MID000628,TWM,"$12,984.05","$12,747.10","$2,763.36",$899.89,"$1,767.57",12.80%,1.0799
MID000628,GS,"$12,984.05","$12,747.10","$2,763.36",$899.89,"$1,767.57",12.80%,1.0799
MID000628,AB,"$12,984.05","$12,747.10","$2,763.36",$899.89,"$1,767.57",12.80%,1.0799
MID000628,HD,"$12,984.05","$12,747.10","$2,763.36",$899.89,"$1,767.57",12.80%,1.0799
MID000629,HD,"$51,317.89","$50,416.28","$11,343.96","$6,211.70","$9,292.67",16.80%,0.9977
MID000629,TWM,"$51,317.89","$50,416.28","$11,343.96","$6,211.70","$9,292.67",16.80%,0.9977
MID000629,PG,"$51,317.89","$50,416.28","$11,343.96","$6,211.70","$9,292.67",16.80%,0.9977
MID000629,GS,"$51,317.89","$50,416.28","$11,343.96","$6,211.70","$9,292.67",16.80%,0.9977
MID000629,KRM,"$51,317.89","$50,416.28","$11,343.96","$6,211.70","$9,292.67",16.80%,0.9977
MID000629,DMC,"$51,317.89","$50,416.28","$11,343.96","$6,211.70","$9,292.67",16.80%,0.9977
MID000630,PG,"$1,310,123.75","$1,255,722.16","$288,570.51","$79,565.09","$149,322.60",11.20%,1.0747
MID000630,GMNA,"$1,310,123.75","$1,255,722.16","$288,570.51","$79,565.09","$149,322.60",11.20%,1.0747
MID000630,KRM,"$1,310,123.75","$1,255,722.16","$288,570.51","$79,565.09","$149,322.60",11.20%,1.0747
MID000631,OCST,"$62,438.97","$60,681.51","$13,684.36","$4,794.99","$8,360.46",15.40%,0.9821
MID000631,EG,"$62,438.97","$60,681.51","$13,684.36","$4,794.99","$8,360.46",15.40%,0.9821
MID000631,NEK,"$62,438.97","$60,681.51","$13,684.36","$4,794.99","$8,360.46",15.40%,0.9821
MID000631,GS,"$62,438.97","$60,681.51","$13,684.36","$4,794.99","$8,360.46",15.40%,0.9821
MID000631,ABC,"$62,438.97","$60,681.51","$13,684.36","$4,794.99","$8,360.46",15.40%,0.9821
MID000631,NTIC,"$62,438.97","$60,681.51","$13,684.36","$4,794.99","$8,360.46",15.40%,0.9821
MID000631,FWC,"$62,438.97","$60,681.51","$13,684.36","$4,794.99","$8,360.46",15.40%,0.9821
MID000632,OOGGL,"$1,278.90","$1,270.58",$254.06,$113.30,$184.51,14.60%,1.0978
MID000632,SM,"$1,278.90","$1,270.58",$254.06,$113.30,$184.51,14.60%,1.0978
MID000632,ABT,"$1,278.90","$1,270.58",$254.06,$113.30,$184.51,14.60%,1.0978
MID000633,TWM,"$58,050.09","$56,093.71","$13,301.92","$4,944.88","$9,160.54",15.20%,0.9811
MID000633,ABC,"$58,050.09","$56,093.71","$13,301.92","$4,944.88","$9,160.54",15.20%,0.9811
MID000633,AB,"$58,050.09","$56,093.71","$13,301.92","$4,944.88","$9,160.54",15.20%,0.9811
MID000633,MPJ,"$58,050.09","$56,093.71","$13,301.92","$4,944.88","$9,160.54",15.20%,0.9811
MID000634,LTSA,"$1,292,551.15","$1,278,882.07","$276,362.50","$111,218.06","$188,781.85",16.00%,1.0586
MID000634,OCST,"$1,292,551.15","$1,278,882.07","$276,362.50","$111,218.06","$188,781.85",16.00%,1.0586
MID000634,MTFS,"$1,292,551.15","$1,278,882.07","$276,362.50","$111,218.06","$188,781.85",16.00%,1.0586
MID000634,OOGGL,"$1,292,551.15","$1,278,882.07","$276,362.50","$111,218.06","$188,781.85",16.00%,1.0586
MID000634,MPJ,"$1,292,551.15","$1,278,882.07","$276,362.50","$111,218.06","$188,781.85",16.00%,1.0586
MID000635,SM,"$115,516.56","$113,163.78","$24,813.88","$9,866.19","$16,057.19",15.00%,1.0283
