MEMBER_ID,OPTIMIZED_EXPECTED_FINAL_PORTFOLIO_VALUE,OPTIMIZED_MEDIAN_FINAL_PORTFOLIO_VALUE,OPTIMIZED_STANDARD_DEVIATION_OF_FINAL_PORTFOLIO_VALUE,OPTIMIZED_VALUE_AT_RISK,OPTIMIZED_CONDITIONAL_VALUE_AT_RISK,OPTIMIZED_PROBABILITY_OF_LOSS,OPTIMIZED_SHARPE_RATIO
MID009672,"$113,882.63","$111,685.57","$24,835.00",,,17.60%,0.9617
MID009673,"$1,288.43","$1,259.24",$297.45,,,15.60%,0.9697
MID009674,"$6,436.05","$6,348.92","$1,346.21",,,15.00%,1.0667
MID009675,"$113,014.43","$110,512.45","$24,895.06",,,15.00%,1.0048
MID009676,"$104,350.03","$102,624.07","$23,494.04",,,14.40%,1.0364
MID009677,"$72,012.11","$70,116.61","$15,129.73",,,11.60%,1.1244
MID009678,"$89,457.94","$86,835.12","$19,654.71",,,13.20%,1.0409
MID009679,"$64,023.92","$63,533.67","$13,943.45",,,13.40%,1.0775
MID009680,"$6,503.35","$6,237.92","$1,426.90",,,11.40%,1.0536
MID009681,"$126,146.78","$122,738.84","$29,098.45",,,13.60%,1.0017
MID009682,"$70,731.81","$69,435.49","$14,752.34",,,13.20%,1.0664
MID009683,"$12,749.29","$12,509.63","$2,426.03",,,12.80%,1.1332
MID009684,"$113,906.37","$111,383.68","$24,734.19",,,13.60%,1.0474
MID009685,"$12,914.82","$12,777.28","$2,653.16",,,13.00%,1.0986
MID009686,"$112,833.98","$110,418.76","$24,150.67",,,14.60%,1.0283
MID009687,"$12,843.85","$12,720.30","$2,684.98",,,13.60%,1.0592
MID009688,"$63,796.91","$62,102.56","$12,749.98",,,11.20%,1.0821
MID009689,"$62,669.23","$61,163.71","$13,380.22",,,14.80%,1.0216
MID009690,"$114,174.44","$110,943.78","$23,805.26",,,10.20%,1.0995
MID009691,"$64,638.54","$62,945.65","$14,214.62",,,15.20%,1.0298
MID009692,"$1,297,579.92","$1,264,926.58","$267,224.11",,,11.20%,1.1136
MID009693,"$13,155.22","$12,923.78","$2,620.94",,,11.40%,1.2038
MID009694,"$63,554.87","$61,623.28","$13,442.27",,,12.80%,1.0828
MID009695,"$63,292.28","$61,663.19","$13,691.53",,,12.80%,1.0439
MID009696,"$113,787.54","$111,352.51","$26,106.48",,,15.40%,0.9878
MID009697,"$127,337.48","$124,484.52","$27,085.40",,,11.80%,1.1201
MID009698,"$1,288,581.85","$1,260,862.88","$269,100.10",,,11.80%,1.0724
MID009699,"$12,931.62","$12,807.00","$2,718.16",,,13.60%,1.0785
MID009700,"$70,551.57","$68,448.46","$15,991.06",,,16.80%,0.9725
MID009701,"$1,306,507.26","$1,273,031.39","$264,909.06",,,11.60%,1.1570
MID009702,"$58,668.90","$56,869.67","$12,779.88",,,14.00%,1.0696
MID009703,"$1,265,048.92","$1,237,065.98","$260,560.56",,,14.60%,1.0172
MID009704,"$51,867.24","$50,534.18","$11,084.69",,,13.20%,1.0706
MID009705,"$104,925.34","$102,798.65","$22,687.55",,,14.00%,1.0986
MID009706,"$58,156.38","$56,289.80","$12,341.48",,,13.40%,1.0660
MID009707,"$1,284,907.14","$1,263,253.79","$277,669.85",,,14.80%,1.0261
MID009708,"$51,624.02","$50,867.38","$10,820.66",,,13.40%,1.0742
MID009709,"$12,933.52","$12,716.84","$2,766.04",,,12.00%,1.0605
MID009710,"$58,263.76","$57,054.95","$12,991.04",,,15.00%,1.0210
MID009711,"$63,723.49","$61,987.23","$14,291.71",,,13.20%,1.0302
MID009712,"$71,888.09","$70,521.13","$16,235.00",,,13.60%,1.0402
MID009713,"$63,819.58","$61,391.50","$14,116.18",,,12.60%,1.0498
MID009714,"$63,720.69","$61,866.11","$13,902.12",,,14.60%,0.9869
MID009715,"$51,232.82","$50,098.15","$10,412.24",,,11.00%,1.0788
MID009716,"$1,285,366.57","$1,264,393.45","$273,224.66",,,13.00%,1.0444
MID009717,"$126,647.05","$124,177.27","$27,755.26",,,12.80%,1.0682
MID009718,"$113,397.07","$109,533.04","$23,869.50",,,13.00%,1.0640
MID009719,"$124,645.53","$121,037.54","$27,248.14",,,15.40%,1.0146
MID009720,"$1,275.42","$1,256.07",$269.24,,,15.80%,1.0230
MID009721,"$63,845.55","$62,518.46","$13,809.75",,,15.80%,1.0026
MID009722,"$6,436.17","$6,317.22","$1,317.04",,,13.40%,1.0905
MID009723,"$57,395.40","$56,348.64","$12,039.66",,,13.40%,1.0295
MID009724,"$111,551.83","$108,790.47","$23,114.20",,,16.40%,1.0189
MID009725,"$12,900.28","$12,694.68","$2,682.83",,,14.60%,1.0811
MID009726,"$115,265.40","$112,547.45","$23,750.63",,,13.60%,1.0638
MID009727,"$117,577.51","$115,176.42","$25,157.74",,,12.00%,1.0962
MID009728,"$112,756.86","$109,813.36","$22,840.44",,,11.80%,1.0839
MID009729,"$70,810.28","$68,789.73","$15,188.55",,,12.40%,1.0409
MID009730,"$63,724.28","$62,412.07","$13,984.99",,,13.20%,1.0529
MID009731,"$1,299,672.46","$1,277,282.14","$275,821.18",,,11.20%,1.0865
MID009732,"$1,300.70","$1,275.81",$276.41,,,12.20%,1.0879
MID009733,"$71,376.66","$70,021.89","$14,641.94",,,11.20%,1.1185
MID009734,"$14,311.10","$13,951.50","$3,110.62",,,12.40%,1.0645
MID009735,"$116,631.10","$114,763.23","$24,032.27",,,13.60%,1.1081
MID009736,"$111,860.28","$110,161.97","$23,645.80",,,13.80%,1.0091
MID009737,"$14,252.98","$14,037.56","$2,952.61",,,13.40%,1.1017
MID009738,"$58,432.42","$56,733.29","$12,919.61",,,13.00%,1.0397
MID009739,"$62,851.28","$61,016.64","$13,804.16",,,14.40%,1.0034
MID009740,"$125,045.92","$122,158.67","$27,021.96",,,13.60%,1.0379
MID009741,"$116,193.68","$113,269.47","$25,536.92",,,15.40%,1.0257
MID009742,"$63,788.93","$62,149.94","$13,487.33",,,13.00%,1.0965
MID009743,"$1,282.55","$1,251.70",$280.93,,,15.60%,1.0058
MID009744,"$90,634.70","$89,172.57","$20,519.53",,,14.00%,1.0543
MID009745,"$116,490.81","$113,663.49","$26,459.36",,,14.40%,1.0012
MID009746,"$51,922.90","$50,890.31","$10,155.83",,,11.20%,1.1740
MID009747,"$102,551.41","$99,526.92","$22,287.63",,,14.00%,1.0118
MID009748,"$125,494.97","$122,543.04","$27,028.95",,,15.00%,1.0542
MID009749,"$88,994.78","$88,068.02","$18,143.33",,,14.20%,1.1020
MID009750,"$1,292,645.68","$1,281,301.81","$275,901.12",,,13.20%,1.0607
MID009751,"$13,001.83","$12,647.26","$2,863.84",,,10.80%,1.0482
MID009752,"$1,316,773.68","$1,293,026.69","$280,735.43",,,11.80%,1.1284
MID009753,"$12,840.81","$12,487.37","$2,785.93",,,14.20%,1.0197
MID009754,"$103,478.41","$101,393.35","$20,713.31",,,12.20%,1.1335
MID009755,"$57,648.10","$56,189.38","$12,639.24",,,16.20%,1.0007
MID009756,"$51,541.59","$50,521.40","$11,443.80",,,15.60%,1.0085
MID009757,"$88,109.03","$85,426.53","$19,016.28",,,15.60%,1.0049
MID009758,"$1,286,606.77","$1,259,058.07","$284,078.23",,,13.40%,1.0089
MID009759,"$125,593.69","$122,506.29","$25,123.63",,,11.60%,1.1381
MID009760,"$1,276,979.98","$1,244,300.57","$272,147.51",,,14.00%,1.0178
MID009761,"$70,559.79","$69,393.95","$15,807.77",,,15.80%,0.9843
MID009762,"$58,390.23","$57,366.76","$11,858.25",,,11.00%,1.1292
MID009763,"$50,861.97","$49,718.93","$10,588.61",,,13.20%,1.0258
MID009764,"$64,981.58","$62,977.36","$13,540.66",,,13.00%,1.1064
MID009765,"$116,504.65","$114,643.04","$23,715.80",,,12.40%,1.1176
MID009766,"$64,014.13","$62,317.86","$13,685.24",,,14.60%,1.0240
MID009767,"$69,720.28","$68,863.10","$14,748.41",,,17.20%,0.9981
MID009768,"$70,619.47","$68,273.02","$15,435.73",,,14.20%,1.0119
MID009769,"$114,272.32","$112,560.67","$23,310.95",,,12.80%,1.1270
MID009770,"$62,373.06","$60,151.20","$13,497.50",,,14.60%,0.9908
MID009771,"$114,586.35","$112,655.67","$23,654.60",,,14.80%,1.0394
MID009772,"$1,310,869.83","$1,285,853.41","$263,477.93",,,9.40%,1.1799
MID009773,"$103,902.01","$101,625.70","$22,305.30",,,11.80%,1.0716
MID009774,"$102,962.59","$99,711.15","$22,541.72",,,14.60%,1.0187
MID009775,"$70,649.22","$69,106.21","$15,069.36",,,15.40%,1.0385
MID009776,"$115,346.66","$112,384.06","$24,412.74",,,13.40%,1.0383
MID009777,"$1,299,103.50","$1,258,639.99","$287,275.28",,,13.60%,1.0412
MID009778,"$51,648.95","$50,704.89","$10,686.41",,,12.40%,1.0901
MID009779,"$12,780.78","$12,466.13","$2,850.27",,,15.80%,0.9756
MID009780,"$58,103.30","$56,342.13","$11,930.10",,,12.00%,1.0983
MID009781,"$1,291.66","$1,244.22",$277.92,,,15.20%,1.0495
MID009782,"$52,434.83","$51,432.91","$11,216.65",,,13.40%,1.1086
MID009783,"$58,009.96","$56,610.43","$12,973.65",,,15.60%,1.0028
MID009784,"$89,119.08","$87,284.62","$18,398.10",,,12.60%,1.0935
MID009785,"$111,154.73","$108,118.34","$23,673.77",,,15.60%,0.9781
MID009786,"$6,545.74","$6,410.13","$1,453.80",,,15.00%,1.0632
MID009787,"$1,285,537.03","$1,253,712.53","$278,779.42",,,15.20%,1.0242
MID009788,"$14,111.69","$13,772.01","$2,916.82",,,12.60%,1.0668
MID009789,"$64,703.97","$63,681.57","$13,401.52",,,12.00%,1.0972
MID009790,"$88,954.24","$86,882.62","$19,314.29",,,14.20%,1.0331
MID009791,"$51,397.93","$50,527.70","$10,808.61",,,14.60%,1.0545
MID009792,"$14,113.29","$14,004.32","$2,935.22",,,15.20%,1.0607
MID009793,"$1,294.53","$1,264.00",$271.87,,,12.20%,1.0833
MID009794,"$1,284,178.11","$1,252,015.86","$285,423.78",,,15.40%,0.9956
MID009795,"$70,816.22","$70,266.77","$14,366.68",,,12.60%,1.1009
MID009796,"$70,631.49","$68,291.74","$15,278.15",,,13.20%,1.0231
MID009797,"$12,787.72","$12,662.40","$2,541.67",,,13.00%,1.0968
MID009798,"$117,313.70","$114,585.49","$24,840.00",,,11.20%,1.0996
MID009799,"$125,338.98","$122,446.22","$27,098.93",,,13.40%,1.0458
MID009800,"$1,305,974.68","$1,271,017.65","$263,709.90",,,11.60%,1.1603
MID009801,"$14,352.38","$14,032.43","$3,172.54",,,13.60%,1.0567
MID009802,"$90,037.21","$88,086.29","$18,957.27",,,12.60%,1.1097
MID009803,"$127,278.29","$123,966.85","$27,162.17",,,12.20%,1.1147
MID009804,"$116,938.03","$114,302.61","$25,115.07",,,13.80%,1.0726
MID009805,"$63,413.17","$62,403.20","$13,153.91",,,11.20%,1.0957
MID009806,"$88,356.37","$85,169.84","$19,278.84",,,13.20%,1.0040
MID009807,"$71,886.06","$69,762.78","$15,383.74",,,11.00%,1.0977
MID009808,"$64,462.23","$62,937.74","$12,853.22",,,11.40%,1.1252
MID009809,"$124,308.89","$119,920.03","$26,530.28",,,13.00%,1.0293
MID009810,"$1,290,405.88","$1,245,685.50","$289,536.85",,,14.00%,1.0030
MID009811,"$6,478.94","$6,337.45","$1,428.71",,,13.00%,1.0352
MID009812,"$6,426.28","$6,350.92","$1,337.95",,,12.80%,1.0660
MID009813,"$58,429.78","$56,549.59","$12,327.74",,,14.00%,1.0894
MID009814,"$51,329.95","$50,344.39","$11,345.92",,,14.40%,0.9986
MID009815,"$115,485.07","$112,350.40","$25,444.20",,,15.40%,1.0016
MID009816,"$64,822.14","$63,514.89","$14,133.19",,,13.40%,1.0487
MID009817,"$6,403.68","$6,226.54","$1,385.53",,,15.80%,1.0131
MID009818,"$51,557.48","$50,932.43","$10,402.66",,,13.00%,1.1110
MID009819,"$70,937.76","$69,574.32","$14,329.41",,,12.80%,1.1122
MID009820,"$71,712.74","$69,719.89","$16,133.56",,,12.40%,1.0359
MID009821,"$117,646.83","$116,684.52","$24,738.92",,,13.80%,1.1175
MID009822,"$6,482.46","$6,253.54","$1,343.64",,,11.60%,1.1033
MID009823,"$115,199.38","$113,870.83","$23,450.59",,,13.00%,1.0746
MID009824,"$12,730.05","$12,395.03","$2,658.10",,,14.60%,1.0271
MID009825,"$12,662.34","$12,369.75","$2,620.37",,,14.60%,1.0160
MID009826,"$63,160.89","$61,131.53","$13,976.45",,,16.60%,1.0132
MID009827,"$63,305.79","$62,169.07","$13,861.87",,,16.60%,1.0320
MID009828,"$58,425.58","$57,004.70","$12,739.44",,,13.20%,1.0539
MID009829,"$89,072.74","$87,540.40","$18,586.99",,,12.20%,1.0799
MID009830,"$63,863.67","$62,332.24","$13,522.31",,,13.20%,1.0992
MID009831,"$89,980.13","$88,893.45","$19,977.66",,,15.00%,1.0502
MID009832,"$111,411.03","$109,182.46","$23,927.98",,,16.20%,0.9784
MID009833,"$114,273.28","$111,491.49","$24,219.88",,,13.60%,1.0848
MID009834,"$58,089.25","$56,567.85","$12,288.37",,,14.00%,1.0652
MID009835,"$1,276,360.79","$1,247,977.66","$266,720.57",,,13.80%,1.0361
MID009836,"$1,309,509.54","$1,293,430.96","$276,363.86",,,11.60%,1.1199
MID009837,"$62,073.96","$60,681.13","$13,129.55",,,14.20%,0.9958
MID009838,"$90,004.91","$88,772.97","$19,498.05",,,13.40%,1.0773
MID009839,"$57,994.41","$56,503.12","$12,339.25",,,13.20%,1.0531
MID009840,"$58,151.62","$56,864.90","$12,550.53",,,14.00%,1.0479
MID009841,"$64,913.20","$63,841.78","$14,543.74",,,14.20%,1.0254
MID009842,"$116,309.96","$114,428.98","$25,274.57",,,14.20%,1.0410
MID009843,"$70,207.80","$69,279.01","$15,810.85",,,16.60%,0.9619
MID009844,"$125,291.64","$122,788.19","$25,280.24",,,11.60%,1.1191
MID009845,"$70,865.20","$68,943.27","$14,936.76",,,13.20%,1.0622
MID009846,"$70,982.82","$69,774.92","$15,414.30",,,14.20%,1.0369
MID009847,"$13,132.22","$12,994.14","$2,757.01",,,14.40%,1.1361
MID009848,"$127,350.57","$123,079.27","$26,923.48",,,11.20%,1.1273
MID009849,"$1,290,034.92","$1,251,941.79","$281,324.53",,,14.20%,1.0310
MID009850,"$6,520.03","$6,398.44","$1,408.46",,,12.40%,1.0792
MID009851,"$1,276,398.32","$1,232,494.61","$295,825.14",,,16.80%,0.9343
MID009852,"$113,988.96","$112,077.23","$22,294.11",,,11.20%,1.1657
MID009853,"$125,718.72","$123,806.78","$26,709.38",,,13.20%,1.0752
MID009854,"$88,022.15","$86,156.32","$18,752.92",,,13.60%,1.0144
MID009855,"$52,240.95","$50,296.11","$11,401.60",,,11.00%,1.0736
MID009856,"$51,211.05","$49,580.31","$10,864.28",,,13.00%,1.0319
MID009857,"$70,355.88","$68,532.48","$14,874.27",,,13.80%,1.0324
MID009858,"$57,393.01","$55,859.54","$11,977.55",,,13.40%,1.0347
MID009859,"$89,359.36","$87,631.37","$19,402.32",,,13.80%,1.0493
MID009860,"$70,567.51","$70,045.09","$14,822.26",,,15.00%,1.0503
MID009861,"$113,381.33","$110,117.53","$23,825.57",,,13.60%,1.0653
MID009862,"$103,440.47","$100,980.86","$22,104.15",,,13.40%,1.0605
MID009863,"$51,884.89","$50,597.64","$11,340.98",,,13.60%,1.0480
MID009864,"$51,733.47","$50,880.29","$10,788.50",,,13.60%,1.0876
MID009865,"$13,948.03","$13,660.92","$2,869.23",,,14.40%,1.0275
MID009866,"$90,374.35","$89,201.45","$20,503.63",,,14.40%,1.0425
MID009867,"$70,447.12","$69,172.73","$15,387.61",,,16.40%,1.0039
MID009868,"$1,293,199.25","$1,267,210.70","$279,905.93",,,15.20%,1.0475
MID009869,"$6,479.87","$6,366.09","$1,293.86",,,11.40%,1.1438
MID009870,"$125,998.86","$121,446.07","$28,486.81",,,13.00%,1.0180
MID009871,"$1,290,160.86","$1,268,064.23","$289,996.62",,,16.80%,1.0006
MID009872,"$112,274.54","$110,961.42","$24,502.16",,,16.00%,0.9907
MID009873,"$124,285.65","$122,142.58","$26,168.52",,,13.60%,1.0427
MID009874,"$1,279,012.24","$1,235,446.21","$275,064.12",,,13.80%,1.0144
MID009875,"$128,701.08","$124,546.01","$27,913.31",,,11.40%,1.1357
MID009876,"$14,238.31","$13,794.41","$3,031.64",,,12.40%,1.0682
MID009877,"$113,741.72","$110,424.56","$24,485.54",,,13.40%,1.0513
MID009878,"$12,819.05","$12,464.17","$2,774.49",,,14.20%,1.0161
MID009879,"$116,027.09","$113,509.33","$24,557.74",,,14.00%,1.0598
MID009880,"$58,547.06","$57,177.12","$12,450.48",,,13.00%,1.0881
MID009881,"$64,013.20","$62,687.32","$13,199.07",,,14.60%,1.0617
MID009882,"$1,291.59","$1,269.82",$263.30,,,12.60%,1.1075
MID009883,"$124,096.44","$120,762.23","$27,522.90",,,15.40%,0.9845
MID009884,"$63,646.97","$62,749.17","$13,391.64",,,12.80%,1.0937
MID009885,"$114,330.62","$110,747.94","$24,681.10",,,12.80%,1.0668
MID009886,"$14,063.47","$13,661.19","$3,074.85",,,16.00%,0.9963
MID009887,"$113,568.95","$113,207.79","$23,429.77",,,13.00%,1.0913
MID009888,"$123,762.84","$121,864.46","$26,241.42",,,15.60%,1.0199
MID009889,"$126,268.49","$123,133.30","$27,086.72",,,13.80%,1.0805
MID009890,"$1,293.03","$1,268.48",$256.89,,,11.20%,1.1407
MID009891,"$70,280.80","$67,998.15","$15,367.91",,,15.00%,0.9943
MID009892,"$12,833.61","$12,583.42","$2,697.66",,,16.40%,1.0504
MID009893,"$6,458.81","$6,276.97","$1,364.53",,,12.00%,1.0691
MID009894,"$114,816.65","$111,686.90","$24,666.99",,,14.60%,1.0061
MID009895,"$115,704.19","$114,118.88","$23,712.93",,,13.80%,1.0840
MID009896,"$1,304,475.14","$1,272,417.17","$294,158.96",,,14.40%,1.0351
MID009897,"$6,477.40","$6,278.61","$1,412.71",,,12.80%,1.0458
MID009898,"$1,284,833.83","$1,242,667.24","$283,620.23",,,13.60%,1.0043
MID009899,"$63,192.48","$62,683.87","$13,012.44",,,15.00%,1.0138
MID009900,"$101,303.36","$98,883.56","$21,628.06",,,12.80%,0.9850
MID009901,"$14,187.25","$13,779.55","$3,116.65",,,15.80%,1.0226
MID009902,"$90,718.89","$88,326.13","$20,040.60",,,12.60%,1.0837
MID009903,"$64,881.05","$63,652.68","$13,191.89",,,11.60%,1.1280
MID009904,"$64,131.98","$62,828.31","$12,974.00",,,12.20%,1.1663
MID009905,"$58,602.53","$57,325.74","$13,231.19",,,13.40%,1.0281
MID009906,"$88,400.75","$86,402.69","$18,343.41",,,13.40%,1.0576
MID009907,"$1,311,371.26","$1,284,339.54","$284,416.26",,,11.20%,1.0948
MID009908,"$65,029.88","$63,611.10","$13,075.83",,,10.80%,1.1494
MID009909,"$51,850.95","$49,824.88","$11,631.01",,,13.00%,1.0189
MID009910,"$14,546.58","$14,275.20","$3,003.36",,,10.20%,1.1809
MID009911,"$12,888.25","$12,422.35","$2,784.40",,,12.00%,1.0373
MID009912,"$14,215.08","$13,980.20","$3,093.17",,,15.40%,1.0394
MID009913,"$116,321.45","$114,214.71","$24,641.15",,,15.40%,1.0682
MID009914,"$1,305.79","$1,281.38",$278.16,,,11.60%,1.0993
MID009915,"$14,215.65","$14,058.90","$3,101.24",,,14.60%,1.0369
MID009916,"$126,007.02","$124,216.29","$25,969.38",,,11.60%,1.1170
MID009917,"$117,348.04","$113,991.46","$25,528.64",,,12.40%,1.0713
MID009918,"$1,296,958.87","$1,274,864.57","$280,209.25",,,14.00%,1.0598
MID009919,"$1,280,743.52","$1,256,890.03","$278,737.13",,,13.20%,1.0072
MID009920,"$116,208.38","$113,624.58","$24,430.75",,,12.20%,1.0728
MID009921,"$116,393.39","$115,106.67","$25,226.36",,,14.20%,1.0463
MID009922,"$63,626.15","$62,269.05","$13,603.37",,,16.80%,1.0017
MID009923,"$89,862.72","$89,074.20","$18,545.87",,,12.60%,1.1249
MID009924,"$104,342.69","$100,979.04","$22,828.28",,,12.60%,1.0663
MID009925,"$51,988.84","$50,351.29","$10,985.55",,,12.40%,1.0913
MID009926,"$12,932.20","$12,605.42","$2,748.64",,,12.80%,1.0668
MID009927,"$114,728.90","$112,364.18","$23,513.48",,,15.40%,1.0517
MID009928,"$125,915.71","$122,850.68","$26,750.10",,,11.20%,1.0810
MID009929,"$114,371.36","$110,527.79","$24,770.28",,,13.60%,1.0646
MID009930,"$51,436.83","$50,453.04","$10,927.93",,,12.00%,1.0466
MID009931,"$113,395.81","$111,574.40","$23,017.77",,,12.40%,1.1033
MID009932,"$63,222.48","$61,832.74","$13,710.89",,,14.80%,1.0373
MID009933,"$1,298,263.70","$1,272,342.69","$276,180.52",,,14.20%,1.0800
MID009934,"$6,461.45","$6,316.99","$1,413.56",,,14.40%,1.0339
MID009935,"$50,718.45","$49,888.21","$10,510.69",,,15.00%,1.0198
MID009936,"$71,119.24","$69,544.73","$15,039.16",,,11.80%,1.0718
MID009937,"$88,894.79","$87,484.96","$19,047.25",,,13.40%,1.0445
MID009938,"$1,286,815.25","$1,262,992.28","$275,052.72",,,13.80%,1.0428
MID009939,"$124,706.00","$120,548.50","$25,465.21",,,11.60%,1.0880
MID009940,"$104,497.16","$102,344.39","$21,679.69",,,11.80%,1.1300
MID009941,"$103,467.51","$101,403.62","$21,153.00",,,13.20%,1.1094
MID009942,"$114,138.48","$111,938.65","$23,333.58",,,11.80%,1.1202
MID009943,"$6,479.80","$6,400.80","$1,392.33",,,14.20%,1.0628
MID009944,"$124,360.40","$122,295.27","$27,536.70",,,16.80%,0.9936
MID009945,"$51,876.82","$50,198.71","$11,024.83",,,13.80%,1.0773
MID009946,"$13,968.91","$13,616.38","$2,820.66",,,12.80%,1.0526
MID009947,"$1,302,236.51","$1,268,768.66","$298,765.30",,,15.20%,1.0116
MID009948,"$88,851.57","$87,992.28","$18,401.90",,,14.40%,1.0788
MID009949,"$1,304,988.90","$1,282,496.19","$277,873.79",,,14.20%,1.0976
MID009950,"$101,657.01","$100,478.97","$21,862.99",,,16.40%,0.9906
MID009951,"$63,411.62","$62,771.83","$13,495.38",,,15.40%,1.0679
MID009952,"$1,296,291.73","$1,273,765.14","$283,431.21",,,14.00%,1.0454
MID009953,"$124,839.02","$123,158.28","$26,464.56",,,15.20%,1.0519
MID009954,"$14,302.11","$14,017.37","$2,999.46",,,14.00%,1.1009
MID009955,"$71,854.20","$70,323.42","$15,323.84",,,11.40%,1.0999
MID009956,"$102,744.73","$101,553.17","$20,432.62",,,12.80%,1.1132
MID009957,"$115,013.56","$113,296.95","$23,917.05",,,14.60%,1.0458
MID009958,"$64,573.98","$62,406.82","$14,600.57",,,15.40%,0.9982
MID009959,"$125,495.34","$120,677.45","$28,628.06",,,15.60%,0.9954
MID009960,"$62,981.25","$61,959.71","$14,055.63",,,16.40%,0.9947
MID009961,"$57,951.97","$56,559.22","$12,288.17",,,12.20%,1.0540
MID009962,"$89,800.07","$87,671.73","$20,682.51",,,15.80%,1.0057
MID009963,"$125,227.87","$122,098.86","$26,560.79",,,14.60%,1.0628
MID009964,"$1,306,346.01","$1,271,528.73","$280,700.78",,,12.40%,1.0914
MID009965,"$103,465.86","$101,560.13","$22,897.83",,,15.20%,1.0248
MID009966,"$52,078.37","$50,969.71","$10,754.00",,,11.60%,1.1232
MID009967,"$1,308,302.69","$1,284,123.96","$286,227.57",,,13.00%,1.0771
MID009968,"$102,952.40","$101,374.94","$23,161.51",,,14.60%,0.9910
MID009969,"$102,344.28","$100,176.49","$21,385.74",,,13.60%,1.0448
MID009970,"$124,448.02","$121,606.57","$26,760.85",,,15.20%,1.0257
MID009971,"$57,740.96","$57,078.52","$11,865.19",,,12.80%,1.0738
MID009972,"$112,841.85","$110,292.59","$25,977.19",,,18.00%,0.9563
MID009973,"$89,578.29","$87,395.05","$19,912.50",,,14.80%,1.0334
MID009974,"$12,860.18","$12,582.24","$2,681.96",,,13.60%,1.0665
MID009975,"$88,994.10","$87,452.20","$17,893.89",,,12.40%,1.1174
MID009976,"$64,511.86","$63,502.37","$13,314.52",,,14.80%,1.0899
MID009977,"$1,300.52","$1,272.06",$292.27,,,14.20%,1.0282
MID009978,"$64,103.11","$62,648.42","$13,601.44",,,14.60%,1.0369
MID009979,"$87,468.08","$86,143.70","$18,449.86",,,15.00%,1.0010
MID009980,"$1,285,265.42","$1,254,843.33","$277,239.16",,,14.20%,1.0290
MID009981,"$14,224.01","$13,903.99","$2,998.26",,,13.00%,1.0753
MID009982,"$6,409.71","$6,307.06","$1,335.04",,,13.20%,1.0559
MID009983,"$88,585.15","$86,987.83","$19,050.18",,,15.20%,1.0281
MID009984,"$6,500.05","$6,304.79","$1,358.82",,,12.20%,1.1039
MID009985,"$1,297.01","$1,275.41",$290.00,,,15.00%,1.0242
MID009986,"$101,294.29","$100,005.75","$19,927.79",,,14.60%,1.0686
MID009987,"$1,305.84","$1,289.20",$279.49,,,11.80%,1.0943
MID009988,"$64,896.61","$63,992.47","$13,890.80",,,14.40%,1.0724
MID009989,"$1,284,382.24","$1,250,517.91","$261,289.43",,,12.80%,1.0884
MID009990,"$58,530.37","$57,569.90","$12,926.07",,,13.40%,1.0468
MID009991,"$1,289,559.68","$1,265,415.39","$272,717.44",,,13.20%,1.0618
MID009992,"$124,546.16","$123,093.37","$26,131.91",,,14.20%,1.0541
MID009993,"$6,392.11","$6,188.83","$1,422.89",,,13.20%,0.9784
MID009994,"$1,289,076.58","$1,264,655.38","$271,263.85",,,13.40%,1.0657
MID009995,"$1,277.19","$1,256.37",$284.37,,,16.20%,0.9747
MID009996,"$1,298.21","$1,285.11",$255.12,,,9.80%,1.1689
MID009997,"$104,112.16","$101,266.17","$22,257.24",,,13.20%,1.0833
MID009998,"$62,287.12","$61,239.89","$13,178.75",,,16.00%,1.0082
MID009999,"$127,109.09","$123,012.90","$27,838.48",,,11.80%,1.0816
MID010000,"$57,830.94","$56,540.20","$13,125.92",,,16.00%,0.9775
MID010001,"$13,008.70","$12,809.03","$2,672.27",,,12.40%,1.1259
MID010002,"$71,300.47","$70,511.34","$14,439.33",,,11.20%,1.1289
MID010003,"$116,603.32","$111,726.41","$25,973.98",,,13.00%,1.0242
MID010004,"$57,957.95","$56,305.83","$11,744.25",,,11.40%,1.1033
MID010005,"$6,459.86","$6,305.20","$1,357.61",,,14.20%,1.0753
MID010006,"$63,706.41","$61,689.13","$13,345.15",,,11.40%,1.1020
MID010007,"$57,948.93","$56,749.65","$11,792.37",,,11.60%,1.0981
MID010008,"$14,217.89","$13,976.59","$3,016.97",,,14.00%,1.0666
MID010009,"$64,126.45","$62,559.31","$13,568.21",,,12.20%,1.1148
MID010010,"$52,062.46","$49,969.35","$11,425.34",,,14.80%,1.0558
MID010011,"$102,350.90","$99,911.11","$22,387.54",,,16.80%,0.9984
MID010012,"$114,632.28","$111,963.84","$24,678.54",,,12.00%,1.0792
MID010013,"$116,147.33","$112,423.36","$24,210.24",,,12.40%,1.0800
MID010014,"$65,655.64","$64,652.49","$13,720.60",,,12.20%,1.1410
MID010015,"$6,422.34","$6,345.42","$1,280.70",,,13.40%,1.1106
MID010016,"$115,706.05","$112,306.11","$24,688.04",,,10.60%,1.1222
MID010017,"$52,267.34","$50,986.60","$12,071.96",,,14.80%,1.0162
MID010018,"$126,791.21","$123,401.11","$26,994.72",,,13.00%,1.1036
MID010019,"$71,383.11","$70,527.84","$14,469.69",,,13.00%,1.1322
MID010020,"$64,150.46","$63,013.32","$13,728.41",,,16.40%,1.0307
