MEMBER_ID,Expected Final Portfolio Value,Median Final Portfolio Value,Standard Deviation of Final Portfolio Value,Value at Risk (VaR 95%),Conditional Value at Risk (CVaR 95%),Probability of Loss,Sharpe Ratio
MID004435,"$110,047.51","$107,236.65","$21,795.02","$9,409.91","$13,812.68",17.20%,0.9198
MID004436,"$68,734.79","$66,161.09","$14,913.43","$8,030.78","$11,029.69",15.80%,0.9210
MID004437,"$55,385.10","$54,430.54","$11,805.79","$6,625.61","$9,517.21",19.20%,0.8797
MID004438,"$1,235.74","$1,197.61",$267.22,$139.97,$204.95,17.20%,0.8822
MID004439,"$118,344.28","$116,717.39","$23,144.79","$12,057.24","$19,766.72",17.40%,0.9222
MID004440,"$86,106.06","$84,860.32","$17,288.73","$7,845.55","$13,594.62",15.40%,0.9894
MID004441,"$120,211.90","$117,549.71","$25,339.55","$13,796.39","$21,050.76",17.20%,0.9160
MID004442,"$6,168.96","$6,070.03","$1,233.47",$618.69,$879.73,17.60%,0.9477
MID004443,"$60,612.19","$60,254.60","$13,174.93","$7,278.53","$10,797.36",20.40%,0.8814
MID004444,"$55,230.46","$54,221.47","$11,595.10","$6,041.26","$9,807.26",18.60%,0.8823
MID004445,"$1,223.52","$1,203.93",$261.28,$145.22,$223.10,21.80%,0.8555
MID004446,"$98,932.78","$96,412.21","$20,719.91","$11,154.69","$16,190.09",20.20%,0.9137
MID004447,"$66,530.48","$64,700.47","$14,046.42","$7,679.12","$12,474.45",22.40%,0.8209
MID004448,"$110,363.73","$108,558.23","$22,617.78","$12,434.77","$16,176.50",15.80%,0.9888
MID004449,"$12,251.27","$11,933.68","$2,498.53","$1,342.07","$1,929.95",18.80%,0.9010
MID004450,"$12,353.18","$12,035.75","$2,670.19","$1,325.62","$2,015.95",17.80%,0.8813
MID004451,"$67,712.62","$66,072.60","$13,668.66","$6,393.05","$10,573.50",16.40%,0.9301
MID004452,"$59,479.08","$58,661.95","$11,709.17","$6,324.00","$10,236.36",18.60%,0.8949
MID004453,"$55,020.17","$53,939.76","$12,046.68","$7,579.89","$12,381.41",19.60%,0.8318
MID004454,"$1,225,012.96","$1,207,513.81","$255,041.08","$134,517.96","$209,142.72",19.40%,0.8823
MID004455,"$54,960.29","$53,933.85","$11,330.52","$5,498.85","$8,274.34",17.60%,0.8791
MID004456,"$85,375.10","$82,988.42","$19,246.97","$10,912.65","$14,840.07",20.80%,0.8508
MID004457,"$6,181.37","$5,990.76","$1,276.22",$558.01,$980.93,16.60%,0.9257
MID004458,"$12,258.55","$11,913.21","$2,484.64","$1,314.75","$2,061.84",17.60%,0.9090
MID004459,"$55,078.83","$54,181.01","$11,867.16","$6,959.03","$9,604.64",21.00%,0.8493
MID004460,"$121,542.63","$118,894.62","$25,119.32","$11,208.38","$16,405.61",16.80%,0.9770
MID004461,"$13,309.09","$12,935.70","$2,797.32","$1,592.22","$2,194.22",21.00%,0.8255
MID004462,"$12,229.33","$12,093.91","$2,612.14","$1,447.08","$2,172.78",19.40%,0.8535
MID004463,"$106,370.20","$103,848.90","$21,420.14","$12,145.11","$16,465.42",18.80%,0.8576
MID004464,"$84,521.89","$82,931.80","$18,874.56","$11,130.66","$16,236.73",22.80%,0.8224
MID004465,"$12,296.19","$12,004.50","$2,625.98","$1,594.08","$2,236.50",17.00%,0.8744
MID004466,"$12,333.45","$12,117.47","$2,379.40","$1,439.19","$2,104.10",15.20%,0.9807
MID004467,"$109,940.65","$107,096.09","$22,604.82","$12,147.45","$19,390.31",17.40%,0.8821
MID004468,"$121,516.45","$118,287.42","$25,406.67","$12,128.76","$18,588.38",16.80%,0.9650
MID004469,"$12,497.17","$12,191.80","$2,804.24","$1,815.44","$2,349.77",17.20%,0.8905
MID004470,"$12,255.70","$12,034.51","$2,510.87","$1,326.36","$1,940.90",20.20%,0.8984
MID004471,"$118,812.19","$115,629.50","$25,163.32","$13,081.57","$20,577.29",19.20%,0.8668
MID004472,"$60,000.62","$58,630.61","$12,437.63","$6,776.51","$9,550.37",18.20%,0.8845
MID004473,"$49,757.34","$48,549.33","$10,621.77","$5,012.62","$7,548.29",18.40%,0.9186
MID004474,"$1,258,105.68","$1,229,799.94","$262,819.49","$118,147.97","$182,480.96",14.20%,0.9821
MID004475,"$99,567.70","$97,218.36","$21,692.76","$11,682.31","$16,762.29",18.80%,0.9020
MID004476,"$54,476.98","$53,427.80","$11,183.80","$6,752.26","$8,970.85",21.00%,0.8474
MID004477,"$98,836.96","$95,919.17","$21,396.56","$11,916.53","$15,507.54",20.20%,0.8804
MID004478,"$118,922.70","$117,230.01","$24,931.22","$14,884.94","$22,484.75",20.40%,0.8793
MID004479,"$108,881.44","$106,139.57","$23,676.44","$12,384.09","$19,572.00",21.00%,0.8819
MID004480,"$97,196.01","$94,285.00","$20,825.60","$13,813.44","$19,358.27",18.60%,0.8257
MID004481,"$13,533.03","$13,309.93","$2,808.21","$1,579.45","$2,336.35",16.20%,0.9020
MID004482,"$1,228,181.73","$1,192,417.95","$257,146.99","$142,670.15","$220,085.83",18.60%,0.8874
MID004483,"$98,087.78","$96,867.94","$19,177.66","$9,939.29","$15,529.09",18.80%,0.9432
MID004484,"$110,049.41","$107,532.91","$23,329.06","$10,832.91","$17,799.89",16.60%,0.9451
MID004485,"$100,099.58","$97,424.52","$21,066.24","$9,428.38","$13,902.29",16.40%,0.9541
MID004486,"$6,077.21","$5,969.23","$1,266.33",$695.64,"$1,087.81",19.80%,0.8507
MID004487,"$1,242,897.27","$1,219,825.68","$253,350.63","$129,588.73","$201,228.30",17.80%,0.9587
MID004488,"$109,234.30","$106,086.08","$21,852.40","$9,359.17","$15,968.26",15.20%,0.9717
MID004489,"$1,225,500.03","$1,202,369.69","$245,387.46","$141,687.93","$192,601.51",17.00%,0.9190
MID004490,"$111,410.45","$107,518.75","$24,675.73","$12,839.71","$19,196.15",18.80%,0.8677
MID004491,"$61,044.18","$60,704.55","$12,959.91","$7,182.27","$10,434.83",16.40%,0.9293
MID004492,"$60,871.07","$59,916.89","$12,664.10","$6,312.99","$9,014.03",19.00%,0.9374
MID004493,"$118,309.65","$116,952.62","$24,184.21","$16,243.86","$23,780.54",18.60%,0.8811
MID004494,"$12,295.72","$11,965.36","$2,628.90","$1,422.67","$2,203.41",19.80%,0.8733
MID004495,"$108,131.89","$105,637.20","$22,116.23","$10,390.41","$17,483.18",18.00%,0.9103
MID004496,"$68,231.89","$66,389.36","$14,671.37","$6,617.75","$11,566.13",19.40%,0.9019
MID004497,"$118,979.72","$117,651.21","$23,079.99","$12,446.08","$18,382.11",17.80%,0.9523
MID004498,"$1,243,599.47","$1,220,545.70","$253,262.68","$127,148.73","$200,950.62",17.00%,0.9618
MID004499,"$13,505.89","$13,152.86","$2,870.26","$1,398.40","$2,147.82",19.00%,0.8731
MID004500,"$12,219.08","$12,019.53","$2,440.33","$1,589.29","$2,071.35",18.20%,0.9093
MID004501,"$61,252.61","$60,479.04","$12,304.33","$5,573.11","$9,145.86",14.60%,0.9958
MID004502,"$1,244,219.29","$1,217,237.23","$263,048.66","$123,191.39","$232,969.19",16.60%,0.9284
MID004503,"$12,284.55","$12,095.41","$2,408.69","$1,416.50","$2,028.04",18.00%,0.9485
MID004504,"$55,871.52","$54,613.18","$11,269.22","$5,722.47","$9,087.08",17.00%,0.9647
MID004505,"$50,043.96","$49,058.09","$10,446.95","$5,227.75","$7,719.00",16.40%,0.9614
MID004506,"$109,839.34","$106,814.75","$24,472.06","$12,996.59","$19,009.02",19.20%,0.8924
MID004507,"$119,907.33","$116,861.33","$26,816.65","$16,353.08","$20,942.57",21.20%,0.8542
MID004508,"$119,320.20","$117,006.02","$25,480.11","$14,439.87","$21,433.74",18.80%,0.8760
MID004509,"$1,227,482.15","$1,199,754.76","$261,071.46","$155,082.43","$221,724.68",20.20%,0.8713
MID004510,"$119,405.75","$117,246.37","$25,876.25","$14,210.45","$21,437.76",19.40%,0.8659
MID004511,"$109,828.78","$107,508.42","$22,551.44","$13,132.04","$19,580.30",18.80%,0.8793
MID004512,"$59,856.19","$58,694.71","$12,066.36","$5,993.44","$11,253.37",18.40%,0.8997
MID004513,"$60,928.86","$60,332.92","$12,762.70","$7,565.28","$11,191.88",21.80%,0.8563
MID004514,"$13,656.93","$13,265.08","$2,853.04","$1,468.64","$2,231.76",16.40%,0.9313
MID004515,"$1,232.98","$1,192.76",$254.39,$135.30,$212.93,17.80%,0.9158
MID004516,"$120,314.13","$118,459.19","$24,885.78","$13,384.63","$17,906.40",18.60%,0.9368
MID004517,"$49,809.82","$48,983.94","$10,310.14","$5,105.37","$7,656.57",17.40%,0.9515
MID004518,"$6,165.83","$6,043.34","$1,278.92",$666.65,$982.67,17.60%,0.9116
MID004519,"$111,092.95","$109,132.40","$23,848.93","$13,605.72","$17,960.18",16.60%,0.9683
MID004520,"$49,093.48","$47,637.09","$10,676.08","$6,631.19","$9,086.45",19.80%,0.8518
MID004521,"$60,630.63","$58,648.83","$12,855.00","$7,719.02","$10,304.89",20.80%,0.8270
MID004522,"$68,792.89","$67,257.44","$14,120.33","$5,729.60","$9,976.19",16.80%,0.9768
MID004523,"$1,223,852.99","$1,193,222.53","$255,127.96","$132,464.85","$202,812.83",19.60%,0.8774
MID004524,"$12,301.36","$12,058.95","$2,424.77","$1,203.61","$1,889.17",14.60%,0.9491
MID004525,"$13,708.88","$13,423.88","$2,968.80","$1,464.31","$2,212.75",18.60%,0.9124
MID004526,"$61,353.19","$60,628.01","$13,088.29","$7,334.42","$9,744.69",15.60%,0.9438
MID004527,"$112,478.91","$109,077.57","$25,087.36","$13,336.49","$19,086.82",18.20%,0.8960
MID004528,"$61,954.20","$60,578.64","$12,603.25","$5,975.92","$9,008.64",17.60%,0.9485
MID004529,"$119,878.42","$116,702.55","$24,773.37","$14,014.24","$20,452.49",18.00%,0.9235
MID004530,"$109,602.10","$107,773.63","$23,302.10","$10,928.15","$17,142.50",16.40%,0.9270
MID004531,"$1,237,735.04","$1,224,722.68","$254,981.66","$151,448.56","$223,952.29",18.00%,0.9324
MID004532,"$118,016.73","$115,422.67","$24,137.84","$15,328.67","$21,136.08",19.80%,0.8707
MID004533,"$59,987.15","$58,975.85","$12,242.47","$5,625.57","$9,814.08",17.60%,0.8975
MID004534,"$97,868.56","$95,709.84","$21,236.07","$11,389.74","$17,124.61",19.60%,0.8414
MID004535,"$60,105.17","$59,046.66","$12,552.82","$7,836.26","$11,985.71",23.20%,0.8050
MID004536,"$1,246.10","$1,237.19",$260.49,$123.90,$206.07,17.20%,0.9448
MID004537,"$86,776.54","$84,422.26","$18,231.09","$7,570.36","$12,800.35",15.60%,0.9751
MID004538,"$13,601.61","$13,263.68","$3,054.71","$1,467.74","$2,354.73",20.80%,0.8517
MID004539,"$1,233,262.38","$1,211,323.91","$254,248.66","$154,132.93","$199,021.73",17.20%,0.9175
MID004540,"$6,130.15","$5,999.20","$1,296.24",$785.58,"$1,084.81",20.20%,0.8719
MID004541,"$1,247.68","$1,225.52",$255.53,$121.68,$183.89,16.60%,0.9693
MID004542,"$6,142.56","$6,114.77","$1,311.59",$709.24,"$1,088.99",21.00%,0.8711
MID004543,"$99,185.52","$96,833.75","$20,607.76","$10,272.33","$17,639.32",17.80%,0.9310
MID004544,"$12,080.98","$11,811.69","$2,589.28","$1,760.27","$2,448.98",19.80%,0.8037
MID004545,"$1,254.66","$1,221.02",$259.59,$109.36,$197.17,17.20%,0.9810
MID004546,"$108,096.15","$105,620.87","$23,575.60","$12,561.30","$20,399.77",19.80%,0.8524
MID004547,"$120,152.67","$118,585.99","$25,928.55","$15,088.96","$23,354.84",19.60%,0.8929
MID004548,"$55,633.06","$54,242.29","$11,036.23","$5,813.77","$8,898.25",14.60%,0.9635
MID004549,"$96,935.10","$95,305.26","$20,893.45","$13,777.33","$18,904.46",22.40%,0.8105
MID004550,"$62,121.66","$60,683.92","$12,833.20","$6,244.50","$9,666.00",17.40%,0.9446
MID004551,"$108,340.24","$106,097.00","$23,130.93","$13,535.50","$21,128.03",18.20%,0.8794
MID004552,"$1,225,456.51","$1,202,751.37","$247,399.52","$151,115.59","$241,605.47",16.80%,0.9113
MID004553,"$12,544.06","$12,256.77","$2,623.40","$1,252.50","$1,966.54",17.40%,0.9698
MID004554,"$12,447.03","$12,191.03","$2,484.07","$1,043.70","$1,915.67",15.20%,0.9851
MID004555,"$59,585.31","$58,463.36","$12,211.80","$6,751.93","$11,073.77",19.80%,0.8668
MID004556,"$12,289.87","$11,831.58","$2,633.79","$1,346.98","$1,989.93",19.20%,0.8694
MID004557,"$67,470.56","$66,863.14","$14,010.33","$7,868.44","$11,738.06",18.20%,0.8901
MID004558,"$120,797.62","$118,122.85","$24,743.99","$14,019.47","$19,791.15",15.80%,0.9618
MID004559,"$110,996.40","$108,673.28","$23,575.42","$13,109.33","$18,118.88",18.40%,0.8906
MID004560,"$85,538.40","$83,971.13","$17,710.12","$9,054.85","$12,592.94",18.00%,0.9338
MID004561,"$84,120.20","$82,474.05","$16,925.49","$10,880.63","$14,629.36",17.00%,0.8933
MID004562,"$1,225,012.77","$1,205,187.76","$245,837.11","$139,102.85","$221,755.56",18.80%,0.9153
MID004563,"$67,833.60","$66,278.29","$14,235.40","$6,984.72","$11,991.21",15.60%,0.9015
MID004564,"$1,214.60","$1,198.36",$257.51,$145.06,$211.13,22.60%,0.8334
MID004565,"$6,107.40","$5,992.84","$1,212.03",$717.78,"$1,050.79",18.40%,0.9137
MID004566,"$100,399.76","$95,873.12","$23,295.20","$9,794.54","$14,172.06",17.20%,0.8757
MID004567,"$62,552.01","$61,891.30","$13,409.44","$6,412.60","$10,673.39",18.60%,0.9361
MID004568,"$48,991.79","$48,101.44","$9,904.92","$5,753.24","$8,955.24",19.20%,0.9078
MID004569,"$1,242,655.88","$1,200,293.96","$267,411.91","$147,095.47","$211,918.28",17.40%,0.9074
MID004570,"$98,825.06","$97,032.58","$20,292.46","$10,332.00","$16,787.86",17.00%,0.9277
MID004571,"$107,317.01","$105,031.46","$22,770.45","$13,134.24","$18,225.14",22.40%,0.8483
MID004572,"$12,406.70","$12,204.02","$2,619.98","$1,375.91","$2,094.63",18.20%,0.9186
MID004573,"$1,227,432.30","$1,181,427.56","$271,226.26","$142,041.37","$217,263.35",19.60%,0.8385
MID004574,"$6,065.85","$5,931.18","$1,309.44",$837.67,"$1,266.47",19.20%,0.8140
MID004575,"$48,446.31","$47,701.26","$9,780.12","$6,188.64","$8,726.99",20.00%,0.8636
MID004576,"$60,359.93","$59,004.99","$11,768.88","$7,613.46","$10,740.05",19.20%,0.8803
MID004577,"$1,229,065.51","$1,192,801.04","$260,942.77","$153,939.18","$219,439.35",19.40%,0.8778
MID004578,"$112,205.25","$112,104.83","$22,502.10","$12,179.52","$19,071.75",17.00%,0.9868
MID004579,"$85,132.63","$83,443.26","$17,616.44","$9,425.28","$13,825.97",18.40%,0.9158
MID004580,"$13,529.15","$13,263.05","$2,901.58","$1,821.05","$2,280.36",19.40%,0.8716
MID004581,"$85,213.02","$84,382.06","$17,482.05","$10,580.99","$15,536.36",18.80%,0.9274
MID004582,"$1,212,843.56","$1,193,948.18","$236,515.93","$163,556.89","$219,012.48",17.40%,0.8999
MID004583,"$1,245,370.69","$1,214,716.55","$264,809.62","$136,858.49","$191,064.61",18.80%,0.9266
MID004584,"$110,746.14","$108,112.45","$23,228.49","$13,234.36","$19,036.38",17.00%,0.8931
MID004585,"$54,769.66","$53,853.25","$11,161.73","$6,233.44","$8,842.47",20.00%,0.8753
MID004586,"$56,136.56","$54,941.24","$12,219.85","$6,968.56","$10,054.99",18.40%,0.9114
MID004587,"$66,878.01","$64,808.63","$13,770.75","$8,029.20","$11,905.59",18.40%,0.8626
MID004588,"$55,178.97","$54,460.22","$11,496.86","$6,225.16","$10,272.83",18.60%,0.8854
MID004589,"$109,970.30","$107,045.56","$23,234.29","$12,291.19","$19,248.53",19.60%,0.8595
MID004590,"$85,479.07","$84,047.28","$17,771.82","$9,074.56","$14,051.58",18.00%,0.9273
MID004591,"$68,244.67","$67,238.58","$14,376.87","$7,597.34","$11,585.69",18.40%,0.9212
MID004592,"$1,234,506.57","$1,209,537.25","$251,614.11","$149,284.79","$211,659.77",16.20%,0.9320
MID004593,"$1,242,649.73","$1,200,637.27","$248,626.43","$110,694.55","$182,017.19",14.60%,0.9760
MID004594,"$61,032.44","$59,927.07","$12,321.03","$5,885.65","$9,899.85",16.80%,0.9766
MID004595,"$1,219,217.33","$1,195,324.64","$253,412.69","$139,872.92","$213,200.35",18.60%,0.8651
MID004596,"$109,240.51","$105,420.16","$23,371.40","$9,804.16","$15,039.44",18.00%,0.9088
MID004597,"$13,558.86","$13,347.15","$2,938.31","$1,804.61","$2,301.54",19.40%,0.8709
MID004598,"$1,232,818.49","$1,204,524.91","$261,943.53","$124,620.08","$195,034.43",18.20%,0.8888
MID004599,"$6,106.69","$5,923.05","$1,315.87",$713.91,"$1,007.60",20.60%,0.8410
MID004600,"$109,415.53","$106,495.33","$22,309.64","$9,642.15","$17,035.43",15.80%,0.9599
MID004601,"$1,227,953.05","$1,211,535.41","$247,370.57","$127,511.82","$203,144.69",18.60%,0.9215
MID004602,"$108,528.50","$106,660.19","$23,258.85","$11,460.07","$18,351.55",21.40%,0.8826
MID004603,"$54,851.81","$54,119.66","$10,557.17","$5,664.04","$8,641.99",19.80%,0.9332
MID004604,"$1,232,473.63","$1,219,161.93","$259,901.42","$144,218.74","$196,318.38",21.40%,0.8945
MID004605,"$85,917.71","$83,490.15","$18,657.48","$10,080.69","$15,058.54",16.80%,0.9068
MID004606,"$13,420.16","$13,321.58","$2,756.73","$1,714.90","$2,574.63",18.60%,0.8779
MID004607,"$1,240.72","$1,210.62",$268.11,$129.92,$195.52,18.00%,0.8979
MID004608,"$66,950.11","$64,827.01","$13,422.71","$5,582.33","$8,801.90",18.80%,0.8903
MID004609,"$49,060.14","$48,426.57","$10,129.86","$5,824.55","$8,922.34",18.20%,0.8944
MID004610,"$107,398.55","$104,497.63","$22,007.89","$13,718.00","$21,119.85",20.40%,0.8814
MID004611,"$99,350.42","$97,364.09","$22,272.99","$11,828.07","$18,333.87",20.80%,0.8688
MID004612,"$1,226.52","$1,205.58",$259.51,$141.39,$209.33,20.40%,0.8729
MID004613,"$61,227.47","$59,979.36","$12,930.61","$7,374.72","$11,406.90",21.00%,0.8683
MID004614,"$59,708.55","$58,422.46","$13,013.09","$8,795.78","$12,155.34",19.20%,0.8229
MID004615,"$1,203,504.47","$1,187,106.70","$231,880.23","$149,054.16","$208,819.72",17.20%,0.8776
MID004616,"$6,165.70","$6,099.43","$1,222.08",$621.45,$920.33,17.20%,0.9539
MID004617,"$1,248.07","$1,215.94",$265.38,$111.92,$162.10,17.40%,0.9348
MID004618,"$85,255.37","$83,839.37","$17,384.16","$9,971.22","$13,987.07",18.40%,0.9351
MID004619,"$67,272.15","$66,345.32","$14,275.03","$9,123.17","$12,489.01",18.20%,0.8597
MID004620,"$1,207,573.72","$1,187,113.54","$244,883.86","$132,630.52","$200,240.24",21.60%,0.8476
MID004621,"$1,221,786.84","$1,204,617.41","$250,590.24","$140,584.17","$211,557.42",18.80%,0.8851
MID004622,"$68,499.88","$67,213.46","$15,027.04","$7,711.35","$10,530.01",17.60%,0.8984
MID004623,"$99,258.41","$97,035.59","$20,025.33","$8,115.75","$13,931.16",16.40%,0.9617
MID004624,"$97,766.36","$95,108.01","$21,023.45","$10,352.13","$16,680.94",20.60%,0.8451
MID004625,"$60,944.66","$59,184.21","$12,883.24","$6,918.52","$10,659.04",15.20%,0.9271
MID004626,"$1,226,944.40","$1,197,054.23","$274,838.84","$149,305.26","$225,104.99",21.80%,0.8257
MID004627,"$6,261.08","$6,163.25","$1,273.29",$627.61,$990.75,16.80%,0.9904
MID004628,"$62,555.05","$61,858.20","$13,027.13","$5,160.24","$10,602.32",15.40%,0.9638
MID004629,"$60,913.25","$59,673.76","$12,159.01","$7,231.27","$11,038.86",16.20%,0.9798
MID004630,"$1,218.13","$1,198.98",$243.07,$137.66,$212.98,18.80%,0.8974
MID004631,"$61,305.28","$59,641.77","$12,809.61","$6,622.31","$10,141.67",19.20%,0.8826
MID004632,"$96,971.87","$95,507.61","$19,752.49","$12,100.41","$17,140.14",20.80%,0.8592
MID004633,"$106,529.28","$103,514.97","$21,653.27","$12,170.64","$18,714.25",19.20%,0.8557
MID004634,"$1,221,957.65","$1,200,616.96","$256,600.54","$152,576.12","$227,080.27",19.60%,0.8650
MID004635,"$49,548.36","$48,355.80","$10,871.88","$6,163.69","$8,822.06",19.20%,0.8783
MID004636,"$121,056.16","$116,468.62","$26,927.68","$11,900.30","$21,291.73",16.00%,0.8934
MID004637,"$119,659.42","$117,856.45","$25,573.66","$15,898.94","$22,537.55",20.40%,0.8860
MID004638,"$12,198.44","$11,908.66","$2,566.23","$1,544.72","$2,388.04",19.00%,0.8567
MID004639,"$13,703.64","$13,394.81","$2,953.01","$1,559.51","$2,370.26",18.20%,0.9156
MID004640,"$13,605.55","$13,309.02","$2,937.00","$1,563.71","$2,331.97",19.80%,0.8871
MID004641,"$12,331.72","$12,084.21","$2,545.79","$1,418.69","$2,039.68",18.60%,0.9159
MID004642,"$111,335.50","$108,794.71","$24,528.11","$15,261.04","$19,759.41",18.60%,0.8698
MID004643,"$13,728.46","$13,356.35","$2,861.94","$1,553.81","$2,448.19",16.40%,0.9534
MID004644,"$13,541.48","$13,358.28","$2,632.71","$1,264.01","$1,902.81",16.60%,0.9653
MID004645,"$1,228.11","$1,191.52",$262.16,$136.90,$218.80,19.20%,0.8701
MID004646,"$1,233.19","$1,213.59",$265.67,$170.97,$230.94,20.20%,0.8777
MID004647,"$118,645.04","$116,275.31","$25,442.48","$16,904.40","$23,860.66",21.00%,0.8507
MID004648,"$108,401.75","$106,892.37","$22,061.38","$14,715.66","$19,339.35",17.20%,0.9248
MID004649,"$61,786.51","$59,925.66","$12,859.27","$5,451.34","$9,241.19",16.40%,0.9166
MID004650,"$62,792.80","$61,617.90","$13,102.85","$6,307.10","$9,827.40",15.60%,0.9763
MID004651,"$66,984.77","$65,473.74","$14,617.73","$9,408.28","$13,026.96",21.20%,0.8199
MID004652,"$1,214.01","$1,188.07",$251.13,$151.62,$221.08,19.40%,0.8522
MID004653,"$67,196.11","$66,147.48","$14,483.00","$9,029.23","$14,164.97",19.80%,0.8421
MID004654,"$1,248,501.48","$1,211,058.34","$276,310.54","$132,350.46","$203,157.10",20.00%,0.8994
MID004655,"$86,254.01","$83,781.45","$17,762.48","$6,667.27","$10,840.86",14.80%,0.9714
MID004656,"$97,429.89","$95,397.35","$19,414.26","$11,240.96","$15,974.99",19.40%,0.8978
MID004657,"$108,963.84","$107,070.42","$23,264.34","$11,869.53","$18,578.50",17.60%,0.9011
MID004658,"$98,777.96","$96,635.73","$19,552.09","$9,496.36","$13,878.53",15.20%,0.9604
MID004659,"$67,202.99","$65,027.88","$14,592.05","$8,279.10","$11,434.03",19.00%,0.8363
MID004660,"$55,046.16","$53,545.05","$11,114.14","$5,969.80","$8,838.74",18.40%,0.9039
MID004661,"$1,241,023.69","$1,208,646.91","$279,352.21","$168,640.36","$217,926.68",20.20%,0.8628
MID004662,"$111,399.80","$109,770.44","$22,242.91","$11,090.27","$15,788.11",17.80%,0.9621
MID004663,"$55,131.86","$54,044.79","$11,710.41","$6,601.51","$10,952.81",19.40%,0.8652
MID004664,"$55,686.69","$53,853.35","$11,832.18","$5,477.19","$9,067.70",19.00%,0.9032
MID004665,"$56,430.64","$55,316.40","$11,976.57","$5,576.93","$8,867.97",18.20%,0.9544
MID004666,"$61,857.40","$61,008.78","$12,757.35","$7,902.17","$11,054.25",17.60%,0.9295
MID004667,"$68,270.34","$66,522.93","$14,897.89","$8,521.62","$11,964.93",17.40%,0.8908
MID004668,"$1,236.84","$1,222.02",$255.37,$149.65,$242.62,16.20%,0.9274
MID004669,"$61,099.33","$59,619.71","$12,905.72","$7,530.46","$11,255.24",19.20%,0.8600
MID004670,"$120,557.97","$118,165.53","$25,868.15","$12,688.40","$21,202.54",17.60%,0.9107
MID004671,"$96,806.38","$94,818.25","$20,739.22","$14,341.02","$19,187.31",20.60%,0.8104
MID004672,"$67,976.18","$67,471.38","$13,874.94","$8,217.08","$12,550.15",18.40%,0.9352
MID004673,"$110,002.88","$108,452.67","$22,302.87","$12,190.10","$17,061.74",20.20%,0.8969
MID004674,"$1,224,808.47","$1,203,731.68","$254,458.43","$135,679.17","$225,862.34",17.60%,0.8835
MID004675,"$1,220,187.18","$1,188,898.43","$256,743.66","$156,142.21","$202,382.04",20.40%,0.8576
MID004676,"$61,400.50","$61,120.47","$12,110.25","$8,311.36","$11,154.74",17.40%,0.9414
MID004677,"$85,073.15","$83,435.93","$16,683.33","$8,027.72","$13,464.00",16.80%,0.9634
MID004678,"$13,573.02","$13,265.24","$2,815.22","$1,584.90","$2,300.57",18.00%,0.9140
MID004679,"$110,668.64","$109,942.79","$23,351.88","$15,968.79","$22,509.82",17.20%,0.8851
MID004680,"$49,320.20","$48,403.73","$10,952.45","$6,150.22","$9,300.17",20.20%,0.8510
MID004681,"$1,207.99","$1,177.62",$239.64,$145.17,$216.41,20.00%,0.8679
MID004682,"$61,967.51","$60,759.29","$12,764.12","$6,887.55","$9,439.56",18.00%,0.9376
MID004683,"$6,192.08","$6,068.69","$1,318.03",$608.92,$984.05,19.20%,0.9044
MID004684,"$61,538.29","$60,406.44","$12,909.64","$6,763.22","$9,988.24",19.40%,0.8938
MID004685,"$61,348.12","$59,894.59","$12,850.28","$6,387.53","$10,370.70",17.80%,0.8831
MID004686,"$54,996.11","$53,568.77","$11,398.76","$6,865.38","$9,234.08",18.40%,0.8769
MID004687,"$107,363.80","$105,906.84","$22,610.38","$14,134.51","$20,479.80",20.80%,0.8564
MID004688,"$48,889.72","$47,770.38","$10,464.23","$5,940.45","$8,471.21",20.40%,0.8495
MID004689,"$60,852.38","$60,047.74","$12,856.18","$7,315.90","$10,540.36",18.60%,0.9219
MID004690,"$1,225,333.08","$1,184,931.53","$248,998.47","$168,352.88","$214,627.01",16.20%,0.9050
MID004691,"$1,224,320.19","$1,212,004.62","$251,085.35","$141,658.76","$217,974.91",19.40%,0.8934
MID004692,"$98,848.74","$96,845.11","$19,415.73","$8,895.99","$13,189.10",15.40%,0.9708
MID004693,"$85,320.76","$84,029.93","$17,977.67","$9,916.45","$15,019.19",18.20%,0.9078
MID004694,"$85,884.60","$85,272.99","$17,054.42","$9,607.23","$14,691.22",14.60%,0.9900
MID004695,"$55,318.62","$53,752.80","$11,016.07","$5,905.54","$7,965.73",16.20%,0.9367
MID004696,"$1,228,664.93","$1,205,269.83","$255,396.51","$120,870.78","$187,022.09",19.00%,0.8953
MID004697,"$6,101.44","$6,036.30","$1,207.37",$774.34,"$1,126.90",17.40%,0.9123
MID004698,"$61,248.28","$59,807.25","$12,283.39","$7,748.97","$10,426.00",17.60%,0.9157
MID004699,"$1,218,605.35","$1,198,073.40","$247,146.27","$128,124.91","$207,743.69",18.60%,0.8845
MID004700,"$118,727.07","$117,261.10","$24,502.59","$13,920.95","$20,748.40",20.80%,0.8867
MID004701,"$98,926.14","$96,130.15","$20,041.57","$10,233.48","$14,738.69",15.40%,0.9443
MID004702,"$12,327.92","$12,087.12","$2,565.75","$1,609.78","$2,300.56",17.00%,0.9073
MID004703,"$66,357.36","$65,130.55","$14,790.88","$9,691.04","$13,647.70",22.40%,0.7679
MID004704,"$108,253.58","$105,416.07","$23,828.45","$13,663.53","$21,276.49",18.00%,0.8500
MID004705,"$106,285.42","$104,628.22","$22,087.38","$13,482.21","$19,646.80",20.00%,0.8279
MID004706,"$12,151.84","$11,886.52","$2,611.80","$1,544.58","$2,391.19",20.40%,0.8239
